stop_id,stop_name,stop_lat,stop_lon
stop_2_075,PITX  to Lawton via Tatft - Stop 75,14.592570182122405,120.97993350276766
stop_2_077,PITX  to Lawton via Tatft - Stop 77,14.593418240440975,120.97962595746104
stop_2_079,PITX  to Lawton via Tatft - Stop 79,14.594019644459616,120.9789733909378
stop_2_081,PITX  to Lawton via Tatft - Stop 81,14.594542038183857,120.97823439551532
stop_2_083,PITX  to Lawton via Tatft - Stop 83,14.594883933674517,120.97891927679896
stop_2_085,PITX  to Lawton via Tatft - Stop 85,14.595132499362784,120.97978912039216
stop_2_087,PITX  to Lawton via Tatft - Stop 87,14.595215312674153,120.97970247954883
stop_2_088,PITX  to Lawton via Tatft - Stop 88,14.59509209592774,120.97926707972748
stop_3_001,- Monumento via Rizal Ave - Stop 1,14.562803705547267,120.9951555992647
stop_3_003,- Monumento via Rizal Ave - Stop 3,14.563628651498858,120.99478824568014
stop_3_005,- Monumento via Rizal Ave - Stop 5,14.56444965696919,120.99441207470406
stop_3_007,- Monumento via Rizal Ave - Stop 7,14.565267743401902,120.99402961433378
stop_3_009,- Monumento via Rizal Ave - Stop 9,14.566083081488571,120.99364132252305
stop_3_011,- Monumento via Rizal Ave - Stop 11,14.566894825646818,120.99324556278636
stop_3_013,- Monumento via Rizal Ave - Stop 13,14.567709728584973,120.99285634759455
stop_3_015,- Monumento via Rizal Ave - Stop 15,14.56852508624356,120.9924680944989
stop_3_017,- Monumento via Rizal Ave - Stop 17,14.569338875968937,120.99207657445444
stop_3_019,- Monumento via Rizal Ave - Stop 19,14.570146620707243,120.99167275728392
stop_3_021,- Monumento via Rizal Ave - Stop 21,14.57094491136148,120.99125079765132
stop_3_023,- Monumento via Rizal Ave - Stop 23,14.57173386253429,120.99081135894494
stop_3_025,- Monumento via Rizal Ave - Stop 25,14.572520661257627,120.99036807226229
stop_3_027,- Monumento via Rizal Ave - Stop 27,14.573308001369568,120.98992575352295
stop_3_029,- Monumento via Rizal Ave - Stop 29,14.57409765183754,120.98948757221282
stop_3_031,- Monumento via Rizal Ave - Stop 31,14.574884783172347,120.98904488236889
stop_3_033,- Monumento via Rizal Ave - Stop 33,14.57567511910996,120.9886079363218
stop_3_035,- Monumento via Rizal Ave - Stop 35,14.576459427470564,120.98816039993967
stop_3_037,- Monumento via Rizal Ave - Stop 37,14.577238819133832,120.98770422578112
